Time (s) Run #1,Geiger Counts (counts/sample) Run #1,Geiger Counts (counts/sample) Run #2,Geiger Counts (counts/sample) Run #3
107.8,3,5,4
108,2,2,3
108.2,3,3,5
108.4,3,3,3
108.6,1,3,3
108.8,5,4,2
109,1,4,3
109.2,2,3,2
109.4,4,5,3
109.6,3,0,3
109.8,4,3,3
110,2,6,5
110.2,3,2,4
110.4,4,2,3
110.6,3,4,1
110.8,3,0,2
111,2,4,2
111.2,2,2,5
111.4,2,3,2
111.6,3,2,5
111.8,1,2,5
112,5,5,3
112.2,2,3,1
112.4,3,4,1
112.6,2,3,1
112.8,6,4,5
113,6,5,5
113.2,4,6,2
113.4,3,4,4
113.6,4,5,4
113.8,1,4,7
114,3,5,2
114.2,4,5,1
114.4,3,4,5
114.6,2,1,3
114.8,3,5,1
115,4,2,1
115.2,3,4,2
115.4,3,2,5
115.6,3,2,3
115.8,3,5,4
116,5,4,1
116.2,1,1,3
116.4,2,4,2
116.6,5,5,4
116.8,5,3,3
117,3,2,3
117.2,0,7,6
117.4,2,3,3
117.6,1,1,3
117.8,4,3,1
118,1,2,1
118.2,5,3,4
118.4,4,4,7
118.6,1,2,3
118.8,5,1,5
119,4,2,4
119.2,4,1,2
119.4,4,5,6
119.6,6,2,0
119.8,3,1,4
120,4,2,2
120.2,4,4,1
120.4,3,3,5
120.6,6,5,4
120.8,2,3,2
121,3,3,3
121.2,4,3,6
121.4,4,5,3
121.6,4,6,0
121.8,3,4,4
122,0,5,0
122.2,6,3,5
122.4,4,1,2
122.6,4,4,3
122.8,4,4,1
123,5,3,1
123.2,5,5,6
123.4,6,1,4
123.6,2,1,1
123.8,3,3,2
124,4,4,3
124.2,2,2,1
124.4,2,7,3
124.6,5,4,3
124.8,3,3,5
125,0,2,2
125.2,2,3,2
125.4,2,4,2
125.6,3,3,3
125.8,7,5,7
126,2,4,2
126.2,1,2,3
126.4,1,3,3
126.6,3,5,3
126.8,4,2,1
127,3,1,2
127.2,4,3,4
127.4,2,2,1
127.6,4,1,6
127.8,5,1,4
128,3,1,4
128.2,5,3,4
128.4,5,5,2
128.6,2,4,0
128.8,1,2,5
129,1,3,3
129.2,4,6,2
129.4,7,2,1
129.6,3,2,1
129.8,3,3,0
130,1,2,4
130.2,2,2,6
130.4,5,5,3
130.6,0,2,3
130.8,1,2,2
131,2,0,1
131.2,5,5,3
131.4,1,5,4
131.6,1,5,2
131.8,3,4,3
132,3,6,6
132.2,3,3,5
132.4,5,6,4
132.6,0,1,4
132.8,2,3,2
133,2,2,3
133.2,1,5,3
133.4,6,6,3
133.6,6,5,2
133.8,3,4,1
134,6,4,2
134.2,3,5,1
134.4,4,6,2
134.6,6,3,5
134.8,4,5,3
135,2,7,2
135.2,1,1,6
135.4,5,3,4
135.6,4,2,1
135.8,6,2,3
136,4,1,4
136.2,0,6,2
136.4,4,3,4
136.6,3,9,1
136.8,1,2,3
137,7,3,1
137.2,5,1,2
137.4,1,4,1
137.6,1,6,2
137.8,1,5,7
138,1,4,1
138.2,1,4,5
138.4,3,5,4
138.6,2,5,5
138.8,4,3,3
139,5,4,5
139.2,5,5,3
139.4,1,9,5
139.6,6,3,8
139.8,2,1,1
140,0,4,4
140.2,1,3,2
140.4,3,5,6
140.6,3,5,6
140.8,3,4,2
141,1,3,2
141.2,7,1,4
141.4,3,4,3
141.6,5,2,6
141.8,1,5,1
142,7,3,2
142.2,2,3,6
142.4,3,3,3
142.6,6,4,3
142.8,5,5,4
143,2,4,4
143.2,2,2,5
143.4,4,9,1
143.6,8,5,3
143.8,5,2,5
144,5,1,2
144.2,2,6,3
144.4,3,8,2
144.6,3,6,3
144.8,2,5,0
145,5,3,2
145.2,3,1,5
145.4,2,5,1
145.6,4,1,5
145.8,1,1,9
146,2,2,5
146.2,1,4,3
146.4,5,1,4
146.6,5,2,2
146.8,5,5,3
147,3,1,6
147.2,5,6,7
147.4,5,5,2
147.6,5,4,1
147.8,5,7,4
148,5,1,5
148.2,4,2,5
148.4,4,5,3
148.6,6,2,4
148.8,4,4,1
149,1,4,7
149.2,5,2,2
149.4,3,1,2
149.6,4,1,3
149.8,3,5,3
150,0,5,2
150.2,5,2,3
150.4,3,3,4
150.6,2,2,3
150.8,1,4,3
151,3,2,4
151.2,1,1,2
151.4,2,4,5
151.6,2,6,5
151.8,2,5,4
152,5,7,9
152.2,2,2,5
152.4,0,3,6
152.6,2,5,7
152.8,3,2,3
153,2,1,2
153.2,3,2,1
153.4,3,3,3
153.6,3,2,4
153.8,2,4,3
154,1,1,2
154.2,4,4,2
154.4,3,8,5
154.6,2,5,3
154.8,4,5,4
155,4,3,0
155.2,5,1,5
155.4,3,8,1
155.6,2,4,3
155.8,2,2,5
156,5,4,3
156.2,4,5,4
156.4,8,3,5
156.6,4,5,3
156.8,7,9,5
157,5,4,5
157.2,0,3,7
157.4,4,4,5
157.6,3,5,2
157.8,3,1,5
158,7,1,2
158.2,2,4,1
158.4,1,4,5
158.6,4,5,4
158.8,1,1,3
159,4,4,2
159.2,1,1,3
159.4,3,1,5
159.6,1,9,2
159.8,4,3,5
160,2,2,2
160.2,0,5,3
160.4,3,2,2
160.6,2,0,3
160.8,6,2,4
161,3,2,2
161.2,1,2,4
161.4,5,3,3
161.6,4,3,5
161.8,3,3,2
162,1,5,5
162.2,4,3,6
162.4,6,4,2
162.6,0,2,3
162.8,9,2,1
163,4,2,3
163.2,3,2,5
163.4,4,5,2
163.6,4,4,1
163.8,3,0,4
164,2,2,4
164.2,1,2,3
164.4,5,6,3
164.6,1,3,1
164.8,3,2,3
165,7,2,3
165.2,4,3,3
165.4,5,1,5
165.6,6,3,2
165.8,5,6,3
166,7,3,4
166.2,6,5,3
166.4,3,1,4
166.6,1,2,3
166.8,1,7,4
167,3,1,2
167.2,3,5,0
167.4,4,2,4
167.6,2,4,4
167.8,3,8,4
168,2,1,1
168.2,2,3,2
168.4,4,2,0
168.6,3,4,6
168.8,4,4,7
169,6,6,3
169.2,6,3,1
169.4,4,5,7
169.6,3,2,5
169.8,5,2,3
170,3,8,6
170.2,4,5,4
170.4,6,5,3
170.6,3,1,1
170.8,4,2,2
