Time (s) Run #7,Geiger Counts (counts/sample) Run #7,Geiger Counts (counts/sample) Run #8,Geiger Counts (counts/sample) Run #9,Geiger Counts (counts/sample) Run #10,Geiger Counts (counts/sample) Run #11,Geiger Counts (counts/sample) Run #12,Geiger Counts (counts/sample) Run #13,Geiger Counts (counts/sample) Run #14,Geiger Counts (counts/sample) Run #15,Geiger Counts (counts/sample) Run #16,Geiger Counts (counts/sample) Run #17,Geiger Counts (counts/sample) Run #18,Geiger Counts (counts/sample) Run #19,Geiger Counts (counts/sample) Run #20,Geiger Counts (counts/sample) Run #21,Geiger Counts (counts/sample) Run #22,Geiger Counts (counts/sample) Run #23,Geiger Counts (counts/sample) Run #24,Geiger Counts (counts/sample) Run #25,Geiger Counts (counts/sample) Run #26
13.7,1,1,1,2,2,1,1,1,2,2,1,2,1,0,1,2,1,2,0,5
13.8,2,3,2,1,2,2,0,1,2,1,1,2,2,1,2,1,0,1,0,0
13.9,2,2,0,2,0,2,2,2,2,2,3,1,2,2,2,1,3,2,4,3
14,2,1,0,1,2,1,2,0,3,1,2,3,0,1,0,1,2,3,1,1
14.1,1,1,2,0,0,4,1,1,3,2,0,1,2,2,1,0,3,3,2,1
14.2,1,1,2,3,1,3,1,0,1,1,3,3,2,2,3,1,0,2,0,0
14.3,0,3,1,1,3,2,1,1,0,0,3,4,3,0,0,1,2,4,0,0
14.4,2,2,2,2,4,2,1,0,3,0,2,2,0,2,0,1,0,0,1,4
14.5,1,0,1,2,5,2,5,1,4,1,2,1,2,1,2,2,4,2,2,0
14.6,0,1,2,2,1,1,2,3,3,1,2,0,0,0,0,1,2,2,2,2
14.7,3,4,1,0,2,3,5,1,2,4,1,0,1,0,1,3,3,1,1,2
14.8,0,3,2,1,1,4,3,0,2,1,1,1,1,3,1,1,0,2,0,3
14.9,3,7,3,2,1,4,2,1,1,3,0,1,0,5,3,1,0,1,2,2
15,2,1,4,1,1,0,1,2,4,1,0,1,2,3,4,2,1,3,1,3
15.1,0,0,0,1,1,2,2,2,1,0,1,2,0,4,3,2,0,0,0,1
15.2,0,1,1,1,0,2,4,1,2,2,1,0,4,1,0,1,6,2,2,1
15.3,3,4,1,1,2,0,3,0,3,1,2,3,2,1,1,3,2,0,1,0
15.4,1,1,2,0,2,1,2,1,2,2,0,3,0,1,0,2,1,2,1,3
15.5,1,2,2,1,2,1,1,1,2,5,1,0,1,1,1,3,2,2,0,0
15.6,1,1,4,2,1,2,0,1,2,3,1,0,1,2,2,3,1,2,1,0
15.7,1,3,0,3,1,3,2,1,0,2,2,0,2,1,2,5,1,2,1,2
15.8,0,0,0,1,0,4,0,4,2,3,0,4,0,0,4,1,2,2,2,2
15.9,2,4,0,2,3,0,2,1,2,1,2,3,1,0,1,1,2,1,2,0
16,3,0,0,3,0,0,0,3,0,1,2,3,3,3,0,0,1,1,1,3
16.1,1,4,1,0,0,1,0,4,5,0,0,1,0,3,1,2,3,2,0,2
16.2,0,1,0,0,0,0,1,0,1,1,3,2,3,2,2,0,2,1,4,3
16.3,0,3,4,3,0,1,2,2,2,2,2,3,0,1,2,0,0,4,2,0
16.4,0,2,2,2,2,1,1,2,2,2,2,0,1,1,3,1,2,2,0,4
16.5,1,1,1,2,1,3,2,1,1,1,0,4,2,1,0,5,4,1,0,1
16.6,0,1,0,3,1,1,3,2,0,0,4,1,1,0,2,1,0,0,3,2
16.7,5,1,1,3,2,3,2,1,1,1,0,0,1,4,2,1,0,1,1,2
16.8,1,0,1,1,0,1,0,2,1,1,3,3,1,2,1,2,2,3,1,4
16.9,1,1,3,0,3,1,1,1,0,1,3,3,1,3,2,1,3,1,4,3
17,0,3,0,1,1,2,4,0,1,0,2,0,1,2,0,3,1,3,2,0
17.1,1,0,0,3,1,2,1,1,1,1,2,0,2,2,1,0,1,2,2,2
17.2,4,0,1,3,1,1,2,0,0,3,3,1,0,2,1,3,2,2,0,3
17.3,6,2,2,2,1,1,0,1,1,2,0,4,3,2,2,2,0,1,2,0
17.4,2,4,2,1,2,1,0,1,2,0,2,0,2,2,1,3,2,3,0,0
17.5,3,1,5,1,3,3,2,1,1,4,1,1,1,0,0,2,3,1,2,1
17.6,1,2,2,0,3,1,2,1,2,2,2,2,2,2,0,1,1,0,3,2
17.7,4,3,1,0,0,3,2,1,2,3,1,0,3,2,0,1,1,3,0,3
17.8,3,2,2,2,4,1,0,0,1,0,3,0,1,1,1,1,0,0,2,3
17.9,3,3,0,4,3,0,2,2,2,2,1,0,3,5,2,3,0,1,1,3
18,2,2,0,1,1,3,3,0,1,0,2,1,1,1,2,0,2,2,2,1
18.1,1,4,3,2,1,1,0,3,1,1,1,0,2,0,2,2,1,1,1,1
18.2,0,0,1,0,1,1,1,3,0,1,2,1,2,2,1,2,3,0,1,1
18.3,2,3,2,2,1,0,1,4,1,1,0,3,0,4,0,0,1,2,2,0
18.4,2,0,3,4,4,1,5,3,2,1,1,0,0,3,4,2,2,1,4,3
18.5,1,1,0,3,1,4,0,3,0,1,1,0,1,1,0,2,0,0,1,0
18.6,0,0,3,3,1,2,1,0,1,2,2,1,0,4,1,5,2,1,3,2
18.7,1,1,3,2,4,2,1,2,1,4,1,1,2,0,3,1,2,0,2,0
18.8,0,1,4,2,1,1,1,2,3,1,3,2,1,2,1,0,1,1,3,2
18.9,3,2,1,2,0,2,3,2,2,0,2,2,3,4,1,2,3,1,0,0
19,0,0,0,2,5,2,4,3,6,1,2,6,3,3,3,0,1,2,2,3
19.1,2,1,2,4,2,2,1,1,3,2,0,2,4,2,0,3,2,2,0,0
19.2,1,3,1,0,3,0,2,3,0,1,0,1,0,4,2,1,3,5,1,1
19.3,1,2,4,3,3,1,1,3,3,3,1,1,1,1,3,2,2,0,3,2
19.4,3,1,4,2,1,6,2,0,2,1,2,1,0,1,1,2,2,1,4,1
19.5,2,0,6,0,0,0,2,2,1,4,3,2,2,1,3,0,0,2,3,1
19.6,2,4,0,3,1,0,7,0,1,4,0,3,1,1,3,3,0,2,1,4
19.7,3,1,3,2,4,2,1,0,1,1,2,0,3,3,1,2,0,1,0,2
19.8,0,1,3,0,3,3,3,0,1,1,1,1,2,1,2,0,3,2,1,1
19.9,2,3,0,2,2,1,1,0,1,1,1,1,3,0,1,3,2,1,0,2
20,0,1,2,0,1,1,2,2,0,2,2,0,5,0,3,2,1,0,0,0
20.1,2,0,1,3,1,2,1,1,1,1,3,1,0,2,3,3,1,1,2,1
20.2,0,0,2,1,4,0,3,1,2,1,1,1,3,6,4,1,2,2,2,1
20.3,2,1,1,1,2,0,5,1,1,3,0,2,1,3,0,2,1,1,2,1
20.4,2,0,3,2,2,2,0,0,0,2,0,1,3,1,0,1,1,1,2,2
20.5,4,2,1,0,1,4,1,1,1,2,0,1,1,0,1,3,2,3,1,0
20.6,2,1,1,1,1,0,1,2,2,0,0,3,2,1,0,1,2,1,3,4
20.7,2,0,0,1,2,2,2,2,2,2,3,2,3,3,0,2,3,2,2,2
20.8,2,1,0,1,1,1,2,1,2,0,2,5,1,0,3,3,0,0,0,2
20.9,2,2,0,1,1,2,1,3,0,1,0,1,4,1,2,2,2,2,4,1
21,1,5,0,3,2,1,2,3,1,2,2,3,4,1,3,1,2,0,1,1
21.1,2,1,2,3,1,3,0,1,3,1,1,0,1,0,1,3,2,1,3,6
21.2,2,0,1,0,1,0,0,2,2,2,1,4,2,1,0,1,3,3,3,1
21.3,0,1,2,0,0,4,4,2,5,4,4,2,0,2,2,1,1,2,2,2
21.4,1,1,3,7,5,0,0,3,1,0,0,1,0,0,2,0,3,2,2,3
21.5,2,1,1,1,3,1,1,1,3,2,1,5,1,5,3,2,1,3,2,0
21.6,0,1,2,2,1,2,1,3,4,0,0,4,0,2,2,3,0,1,2,1
21.7,3,2,2,0,0,1,4,0,3,3,3,0,4,2,1,1,3,1,1,2
21.8,1,2,1,3,0,3,4,2,2,3,1,0,2,1,1,1,1,1,3,0
21.9,1,2,1,2,4,3,1,2,2,1,0,2,1,3,2,1,3,0,2,1
22,2,2,0,2,4,1,1,3,3,0,0,0,2,4,1,2,2,2,2,2
22.1,4,3,2,2,0,0,0,0,1,3,1,2,3,1,2,0,3,4,1,3
22.2,1,3,3,2,1,1,1,1,3,2,2,2,1,2,1,0,1,1,0,0
22.3,0,4,1,0,0,2,1,2,0,0,0,1,2,0,1,0,6,1,3,2
22.4,3,0,4,2,4,2,2,0,1,1,0,5,1,0,0,1,2,2,1,3
22.5,2,1,1,3,0,0,5,1,1,2,1,2,1,0,3,2,1,2,0,3
22.6,0,2,1,1,1,1,0,2,3,2,2,2,2,2,4,1,1,2,2,2
22.7,3,4,1,3,1,0,2,3,1,0,4,2,1,1,2,4,2,1,3,2
22.8,1,2,1,2,1,1,3,2,4,2,0,2,1,2,1,1,1,4,4,2
22.9,2,0,3,2,1,2,1,1,0,2,0,1,0,0,0,3,2,4,2,1
