Time,Run 1
170.8,5
171,0
171.2,3
171.4,3
171.6,3
171.8,0
172,3
172.2,1
172.4,2
172.6,5
172.8,4
173,2
173.2,3
173.4,3
173.6,5
173.8,3
174,2
174.2,2
174.4,0
174.6,0
174.8,0
175,1
175.2,3
175.4,1
175.6,0
175.8,2
176,3
176.2,6
176.4,5
176.6,1
176.8,1
177,1
177.2,1
177.4,1
177.6,2
177.8,3
178,2
178.2,3
178.4,2
178.6,1
178.8,1
179,1
179.2,2
179.4,4
179.6,1
179.8,0
180,0
180.2,2
180.4,4
180.6,1
180.8,2
181,1
181.2,2
181.4,0
181.6,3
181.8,2
182,4
182.2,2
182.4,2
182.6,3
182.8,2
183,2
183.2,4
183.4,1
183.6,3
183.8,3
184,3
184.2,3
184.4,2
184.6,0
184.8,2
185,1
185.2,1
185.4,1
185.6,2
185.8,2
186,3
186.2,2
186.4,2
186.6,3
186.8,3
187,0
187.2,0
187.4,2
187.6,1
187.8,1
188,2
188.2,2
188.4,3
188.6,3
188.8,0
189,0
189.2,4
189.4,2
189.6,1
189.8,1
190,2
190.2,1
190.4,0
190.6,4
190.8,2
191,1
191.2,2
191.4,1
191.6,3
191.8,2
192,2
192.2,5
192.4,0
192.6,5
192.8,1
193,2
193.2,2
193.4,2
193.6,1
193.8,2
194,1
194.2,5
194.4,3
194.6,1
194.8,2
195,1
195.2,2
195.4,1
195.6,3
195.8,3
196,3
196.2,2
196.4,4
196.6,0
196.8,1
197,4
197.2,2
197.4,0
197.6,2
197.8,2
198,2
198.2,0
198.4,1
198.6,2
198.8,1
199,0
199.2,0
199.4,5
199.6,1
199.8,0
200,2
200.2,1
200.4,0
200.6,0
200.8,1
201,2
201.2,2
201.4,1
201.6,4
201.8,2
202,2
202.2,1
202.4,0
202.6,1
202.8,4
203,2
203.2,3
203.4,2
203.6,1
203.8,2
204,1
204.2,1
204.4,2
204.6,2
204.8,4
205,1
205.2,4
205.4,2
205.6,2
205.8,4
206,2
206.2,2
206.4,2
206.6,0
206.8,1
207,2
207.2,1
207.4,2
207.6,1
207.8,0
208,1
208.2,3
208.4,1
208.6,1
208.8,1
209,2
209.2,1
209.4,1
209.6,2
209.8,1
210,1
210.2,0
210.4,4
210.6,5
210.8,4
211,6
211.2,1
211.4,4
211.6,3
211.8,1
212,2
212.2,1
212.4,3
212.6,2
212.8,2
213,0
213.2,2
213.4,1
213.6,3
213.8,0
214,2
214.2,7
214.4,2
214.6,0
214.8,2
215,1
215.2,1
215.4,0
215.6,2
215.8,3
216,0
216.2,0
216.4,4
216.6,2
216.8,1
217,0
217.2,1
217.4,0
217.6,2
217.8,2
218,2
218.2,1
218.4,0
218.6,4
218.8,1
219,6
219.2,1
219.4,1
219.6,3
219.8,2
220,3
220.2,2
220.4,1
220.6,4
220.8,3
221,2
221.2,4
221.4,0
221.6,2
221.8,2
222,3
222.2,0
222.4,2
222.6,1
222.8,1
223,4
223.2,2
223.4,2
223.6,4
223.8,3
224,2
224.2,3
224.4,0
224.6,2
224.8,1
225,1
225.2,2
225.4,2
225.6,2
225.8,0
226,1
226.2,2
226.4,2
226.6,3
226.8,3
227,4
227.2,5
227.4,3
227.6,4
227.8,4
228,1
228.2,1
228.4,0
228.6,3
228.8,3
229,1
229.2,2
229.4,1
229.6,7
229.8,1
230,6
230.2,3
230.4,1
230.6,0
230.8,3
231,4
231.2,4
231.4,2
231.6,2
231.8,2
232,3
232.2,2
232.4,3
232.6,1
232.8,1
233,1
233.2,4
233.4,3
233.6,1
233.8,0
234,4
234.2,2
234.4,1
234.6,0
